Symbol,Name,Last Sale,Net Change,% Change,MarketCap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$86.93,9.63,12.458%,153068691.00,United States,,34080,Finance,Investment Managers
AAU,Almaden Minerals Ltd. Common Shares,$0.1567,-0.0049,-3.032%,21502595.00,Canada,2015,374136,,
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$10.48,-0.22,-2.056%,116945649.00,,2021,503,Industrials,Consumer Electronics/Appliances
ACU,Acme United Corporation. Common Stock,$25.35,0.25,0.996%,89692838.00,United States,1988,5225,Consumer Discretionary,Home Furnishings
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.40,0.09,0.873%,97421189.00,,2021,623,Industrials,Consumer Electronics/Appliances
ADRT,Ault Disruptive Technologies Corporation Common Stock,$10.48,0.00,0.00%,150650000.00,,2022,25253,Industrials,Consumer Electronics/Appliances
AE,Adams Resources & Energy Inc. Common Stock,$38.37,-0.73,-1.867%,97255326.00,United States,1980,4218,Energy,Oilfield Services/Equipment
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.21,-0.08,-1.512%,264416769.00,United States,,49896,Finance,Finance/Investors Services
AGE,AgeX Therapeutics Inc. Common Stock,$0.5888,-0.0113,-1.883%,22345702.00,,2018,15804,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.539,0.019,3.654%,21392916.00,United States,1997,270935,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$10.785,-0.165,-1.507%,34479440.00,United States,2014,953,Finance,Investment Managers
AIRI,Air Industries Group Common Stock,$3.7198,-0.0802,-2.111%,12081676.00,United States,,1451,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$7.57,-0.47,-5.846%,419603972.00,,,38752,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.2771,-0.0028,-1.00%,7036447.00,China,,11849,Consumer Discretionary,Service to the Health Industry
