Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2010-01-04,750.7,757.9,748.0,751.7,753.441089788,102809.0,3042.0,77460525.0,31380.0,30.52,9.9,1.0
2010-01-05,756.25,759.8,746.1,750.9,751.280708059,180889.0,3301.0,135898416.0,87941.0,48.62,13.7,-5.35
2010-01-06,752.9,753.0,730.0,733.8,737.462794848,284087.0,5872.0,209503593.0,162630.0,57.25,23.0,-19.1
2010-01-07,733.0,735.8,711.0,714.65,717.638278994,421521.0,8413.0,302499605.0,243112.0,57.67,24.8,-18.35
2010-01-08,700.0,716.0,696.6,700.5,705.346647878,449909.0,9980.0,317341805.0,207027.0,46.02,19.4,0.5
2010-01-11,702.0,719.85,700.0,714.25,710.014515295,309260.0,7329.0,219579089.0,103941.0,33.61,19.85,12.25
2010-01-12,725.9,752.95,725.9,749.1,743.690881141,713609.0,15778.0,530704506.0,190223.0,26.66,27.05,23.2
2010-01-13,750.0,796.0,744.9,788.25,771.850681216,1261201.0,24671.0,973458851.0,516304.0,40.94,51.1,38.25
2010-01-14,790.0,795.0,770.7,782.2,781.987394231,890386.0,15129.0,696270628.0,350189.0,39.33,24.3,-7.8
2010-01-15,790.0,799.2,772.8,791.8,791.200356898,718972.0,15464.0,568850903.0,116715.0,16.23,26.4,1.8
2010-01-18,801.0,816.4,793.0,799.6,801.459704355,606877.0,12683.0,486387461.0,112831.0,18.59,23.4,-1.4
2010-01-19,801.0,802.0,778.15,780.6,786.781713638,384527.0,7892.0,302538812.0,164525.0,42.79,23.85,-20.4
2010-01-20,785.0,788.5,771.0,778.65,776.670596687,405087.0,6603.0,314619162.0,169653.0,41.88,17.5,-6.35
2010-01-21,778.65,790.9,768.0,770.4,781.147157433,289914.0,7186.0,226465497.0,45414.0,15.66,22.9,-8.25
2010-01-22,761.0,764.9,745.0,755.1,755.360939165,390304.0,8841.0,294820396.0,143155.0,36.68,19.9,-5.9
2010-01-25,740.5,765.35,740.5,755.75,753.802333477,216501.0,5533.0,163198959.0,51807.0,23.93,24.85,15.25
2010-01-27,750.0,759.65,740.6,743.5,748.150736765,289916.0,6326.0,216900869.0,80327.0,27.71,19.05,-6.5
2010-01-28,748.1,758.45,728.25,740.4,743.754920383,226710.0,7042.0,168616678.0,43558.0,19.21,30.2,-7.7
